0.txt,China has reached a major milestone in ending absolute poverty. But the Communist Party isn¡¯t celebrating yet
1.txt,China¡¯s population is shrinking. The impact will be felt around the world
2.txt,Chinese cities are struggling to pay their bills as ¡®hidden debts¡¯ soar
3.txt,China¡¯s economy is in trouble. Here¡¯s what¡¯s gone wrong
4.txt,One in 5 young people in Chinese cities are out of work. Beijing wants them to work in the fields
5.txt,China may have to bail out one of its poorest provinces
6.txt,China¡¯s economy is in bad shape and could stay that way for a while
7.txt,China gave huge loans to some countries. Now it¡¯s spending billions to bail them out
8.txt,China has an inflation problem. It¡¯s way too low
9.txt,China¡¯s economy had a miserable year. 2024 might be even worse
10.txt,China posts one of its worst economic performances in decades because of Covid
11.txt,China promises more support to boost ¡®tortuous¡¯ economic recovery
12.txt,"From energy to drinking water, China has lots to fix in its economy"
13.txt,"Beijing is trying hard to ward off a slowdown, but data continues to disappoint"
14.txt,China records first population decline in 60 years
15.txt,China¡¯s economic recovery loses steam as factory production contracts further
16.txt,China¡¯s economy will be hobbled for years by the real estate crisis
17.txt,Ending poverty in 2020 was going to be Xi¡¯s crowning achievement. Coronavirus might have ruined it
18.txt,Why China has few good options to boost its faltering economy
19.txt,Asia¡¯s richest man sees growing isolation for China
20.txt,This Chinese billionaire has lost over 90% of his fortune
21.txt,China¡¯s cities are running out of cash to pay huge Covid lockdown bills
22.txt,Alibaba pledges $15.5 billion to help China achieve ¡®common prosperity¡¯
23.txt,"China will focus on ¡®high-quality, sustainable growth,¡¯ central bank chief says"
24.txt,China sets lowest GDP growth target in decades as Beijing tightens its belt
25.txt,China¡¯s economy regains momentum. But real estate remains a drag
26.txt,Covid has hit China¡¯s economy harder than expected
27.txt,China¡¯s economy is ¡®in deep trouble¡¯ as Xi heads for next decade in power
28.txt,Beijing¡¯s population has declined for the first time in 19 years
29.txt,"Chinese cities are so broke, they¡¯re cutting medical benefits for seniors"
30.txt,"China may have committed ¡®crimes against humanity¡¯ in Xinjiang, UN report finds"
31.txt,"Deadly floods hit China¡¯s major grain-producing region, fueling food security concerns"
32.txt,Chinese state-owned companies are in trouble. That could hurt the global recovery
33.txt,Asia¡¯s richest man sees growing isolation for China
34.txt,China¡¯s economy records slowest growth since the start of 2020
35.txt,China¡¯s services activity jumps to decade high as economic recovery gets back on track
36.txt,China tries to boost consumer spending as factory sector contracts for fourth month
37.txt,China¡¯s economic recovery is on track. But youth unemployment is getting worse
38.txt,People in China are so worried about the economy they¡¯re asking for divine intervention
39.txt,China records first population decline in 60 years
40.txt,China is encouraging college graduates to work in the countryside
41.txt,Is China Succeeding at Eradicating Poverty?
